Dimension;Threads_num;Elapsed time;Block size,Method
80000;2;12.413066;100;parallel
80000;4;6.949182;100;parallel
80000;8;3.701451;100;parallel
80000;16;2.174578;100;parallel
80000;32;1.584894;100;parallel
80000;64;1.308400;100;parallel
80000;1;48.640000;125;serial
80000;1;24.229997;125;parallel
80000;2;14.224026;125;parallel
80000;4;6.730232;125;parallel
80000;8;3.512237;125;parallel
80000;16;2.225645;125;parallel
80000;32;1.428086;125;parallel
80000;64;1.182088;125;parallel
80000;1;50.410000;128;serial
80000;1;24.752086;128;parallel
80000;2;12.470117;128;parallel
80000;4;6.924100;128;parallel
80000;8;3.764030;128;parallel
80000;16;2.217415;128;parallel
80000;32;1.491147;128;parallel
80000;64;1.212626;128;parallel
80000;1;47.790000;160;serial
80000;1;24.792960;160;parallel
80000;2;12.546210;160;parallel
80000;4;6.773689;160;parallel
80000;8;3.680523;160;parallel
80000;16;2.207396;160;parallel
80000;32;1.586569;160;parallel
80000;64;1.256952;160;parallel
80000;1;46.190000;200;serial
80000;1;25.029694;200;parallel
80000;2;14.299339;200;parallel
80000;4;6.629388;200;parallel
80000;8;3.469878;200;parallel
80000;16;2.148328;200;parallel
80000;32;1.451917;200;parallel
80000;64;1.200816;200;parallel
80000;1;48.010000;250;serial
80000;1;23.981528;250;parallel
80000;2;12.515270;250;parallel
80000;4;6.666367;250;parallel
80000;8;3.873943;250;parallel
80000;16;2.125006;250;parallel
80000;32;1.473438;250;parallel
80000;64;1.149500;250;parallel
