Dimension;Threads_num;Elapsed time;Block size,Method
80000;1;44.830000;125;serial
80000;1;26.742993;125;parallel
80000;2;15.127624;125;parallel
80000;4;7.399141;125;parallel
80000;8;3.737136;125;parallel
80000;16;2.195440;125;parallel
80000;32;1.674881;125;parallel
80000;64;1.427479;125;parallel
80000;1;45.530000;128;serial
80000;1;28.499406;128;parallel
80000;2;17.205529;128;parallel
80000;4;9.224036;128;parallel
80000;8;4.090982;128;parallel
80000;16;2.194463;128;parallel
80000;32;1.754653;128;parallel
80000;64;1.582999;128;parallel
80000;1;42.780000;160;serial
80000;1;27.078916;160;parallel
80000;2;13.901188;160;parallel
80000;4;6.915303;160;parallel
80000;8;3.845176;160;parallel
80000;16;2.286165;160;parallel
80000;32;1.847168;160;parallel
80000;64;1.455219;160;parallel
80000;1;41.380000;200;serial
80000;1;25.489561;200;parallel
80000;2;13.234575;200;parallel
80000;4;7.165992;200;parallel
80000;8;3.509060;200;parallel
80000;16;2.444056;200;parallel
80000;32;1.782542;200;parallel
80000;64;1.131100;200;parallel
80000;1;40.830000;250;serial
80000;1;26.440076;250;parallel
80000;2;13.427979;250;parallel
80000;4;8.659209;250;parallel
80000;8;3.467006;250;parallel
80000;16;2.199147;250;parallel
80000;32;1.624122;250;parallel
80000;64;1.112613;250;parallel
